transcript_id,item_code,event_type,kind,language,segments,passages,k_passages,qa_status,qa_failures,collapsed,word_total,duration_total,word_k,duration_k,word_q,duration_q,word_ann,duration_ann,word_unk,duration_unk,word_pct_k,duration_pct_k,word_pct_q,duration_pct_q,word_pct_ann,duration_pct_ann,word_pct_unk,duration_pct_unk
7,LO61T1,T,manual,en,40,58,38,pass,,0,5373,4616.93,4819,4145.340452380951,544,466.4995476190486,10,5.09,0,0.0,89.6891866741113,89.78564657425932,10.124697561883492,10.104107006583348,0.18611576400521124,0.11024641915731882,0.0,0.0
8,LO61T2,T,manual,en,130,139,74,pass,,0,5996,4348.640000000001,5166,3984.035507936509,753,328.2878253968254,10,5.7299999999999995,0,0.0,86.1574382921948,91.61566622982146,12.558372248165444,7.549206772619146,0.1667778519012675,0.13176533352956324,0.0,0.0
9,LO61T3,T,manual,en,40,56,36,pass,,0,4348,3635.350000000001,4087,3522.9449999999997,251,106.74500000000126,10,5.66,0,0.0,93.99724011039558,96.90800060516867,5.772769089236431,2.9363059952962227,0.22999080036798528,0.15569339953512037,0.0,0.0
10,LO61T4,T,manual,en,50,68,43,pass,,0,4858,4520.9000000000015,4542,4305.444666666669,306,210.21533333333264,10,5.24,0,0.0,93.49526554137505,95.23423802045318,6.298888431453273,4.649855854660191,0.20584602717167558,0.11590612488663758,0.0,0.0
11,LO61T5,T,manual,en,4,17,15,pass,,0,2385,2543.5200000000004,2369,2535.83,6,2.520000000000209,10,5.17,0,0.0,99.32914046121593,99.69766308108447,0.25157232704402516,0.09907529722589989,0.4192872117400419,0.20326162168962694,0.0,0.0
12,LO61T6,T,manual,en,36,54,36,pass,,0,4737,4123.570000000001,4327,3876.1244761904763,400,241.81552380952417,10,5.63,0,0.0,91.344732953346,93.99924037158277,8.444162972345366,5.864227448776767,0.21110407430863415,0.13653217964045716,0.0,0.0
13,LO61T7,T,manual,en,34,52,35,pass,,0,4353,3929.2,4048,3787.643888888889,295,135.63611111111095,10,5.92,0,0.0,92.99333792786584,96.39732996255952,6.776935446818286,3.4520032350379455,0.22972662531587412,0.1506668024025247,0.0,0.0
14,LO61T8,T,manual,en,4,23,21,pass,,0,3464,3739.34,3441,3723.21,13,8.269999999999982,10,7.86,0,0.0,99.33602771362587,99.5686404552675,0.37528868360277134,0.22116202324474324,0.28868360277136257,0.21019752148774917,0.0,0.0
15,LO61T9,T,manual,en,62,82,51,pass,,0,5174,4723.809999999998,4621,4510.225083333334,543,206.5549166666642,10,7.03,0,0.0,89.31194433706996,95.47854556667893,10.494781600309238,4.372633883807018,0.1932740626207963,0.14882054951405757,0.0,0.0
16,LO61T10,T,manual,en,2,26,25,pass,,0,4214,4188.910000000001,4204,4182.14,0,0.0,10,6.7700000000000005,0,0.0,99.76269577598481,99.83838277738123,0.0,0.0,0.23730422401518747,0.16161722261877193,0.0,0.0
17,LO61T11,T,manual,en,12,35,29,pass,,0,4410,3880.349999999999,4326,3833.8524999999995,74,38.82749999999942,10,7.67,0,0.0,98.0952380952381,98.801718917108,1.6780045351473922,1.0006185009084085,0.22675736961451248,0.197662581983584,0.0,0.0
18,LO61T12,T,manual,en,18,46,37,pass,,0,5897,4905.460000000001,5792,4839.05,95,59.74000000000069,10,6.67,0,0.0,98.21943361031033,98.64620239488242,1.6109886382906562,1.2178266666123194,0.16957775139901646,0.13597093850525738,0.0,0.0
19,LO65D1,D,manual,en,192,204,108,pass,,0,7705,5228.5900000000065,6090,4619.601138888893,1605,599.5388611111138,10,9.45,0,0.0,79.0395846852693,88.3527134253955,20.830629461388707,11.466549511648704,0.12978585334198572,0.18073706295578706,0.0,0.0
20,LO65D2,D,manual,en,178,186,97,pass,,0,6765,5561.74,5388,4616.918444444448,1314,915.4015555555511,10,7.76,0,0.0,79.64523281596452,83.01212290478246,19.42350332594235,16.458905945900945,0.14781966001478197,0.13952468112497168,0.0,0.0
21,LO65D3,D,manual,en,120,136,76,pass,,0,6433,4938.9900000000025,5756,4615.58436904762,589,280.5289642857142,10,8.75,0,0.0,89.4761386600342,93.45198854518065,9.155914814239079,5.679885245479624,0.155448468832582,0.17716172739770672,0.0,0.0
22,LO65D4,D,manual,en,27,48,34,pass,,0,5071,4852.589999999997,4851,4663.985844155843,210,180.0741558441548,10,8.530000000000001,0,0.0,95.66160520607376,96.11333008055173,4.141195030565964,3.710887502223656,0.19719976336028397,0.17578241722461624,0.0,0.0
23,LO65D5,D,manual,en,36,59,41,pass,,0,5331,4939.180000000004,5095,4838.738750000001,226,91.47125000000187,10,8.969999999999999,0,0.0,95.57306321515664,97.96643876108985,4.239354717688989,1.8519521459027977,0.18758206715438003,0.18160909300734113,0.0,0.0
24,LO65D6,D,manual,en,48,68,44,pass,,0,5079,5109.68,4680,4945.787785714286,389,155.01221428571444,10,8.88,0,0.0,92.14412285883049,96.7925151029866,7.658987989761764,3.033697105997135,0.19688915140775742,0.17378779101626718,0.0,0.0
25,BR69T1,T,manual,en,8,24,20,pass,,0,3389,3460.39,3244,3393.4425,134,59.69749999999976,11,7.249999999999999,0,0.0,95.72145175568014,98.06531922702355,3.9539687223369726,1.7251668164570977,0.3245795219828858,0.20951395651935184,0.0,0.0
26,BR69T2,T,manual,en,48,68,44,pass,,0,5116,4127.47,4748,3946.982500000001,357,173.2174999999994,11,7.2700000000000005,0,0.0,92.8068803752932,95.62716385582453,6.978107896794371,4.19669918860705,0.2150117279124316,0.17613695556842326,0.0,0.0
27,BR69D1,D,manual,en,230,235,120,pass,,0,7709,4328.159999999995,5585,3385.3250064935028,2112,933.3949935064926,12,9.44,0,0.0,72.44778829939033,78.21626294992575,27.396549487611882,21.565630510574785,0.15566221299779479,0.2181065394994642,0.0,0.0
28,BR69D2,D,manual,en,158,167,88,pass,,0,6740,4784.550000000001,5575,4171.36267965368,1154,606.1473203463206,11,7.04,0,0.0,82.71513353115726,87.18401270033084,17.12166172106825,12.668847025244181,0.1632047477744807,0.14714027442497202,0.0,0.0
29,BR69T3,T,manual,en,18,25,16,pass,,0,4249,4209.000000000002,2265,2184.1750000000006,1973,2017.7750000000008,11,7.05,0,0.0,53.30666039068016,51.89296745070087,46.43445516592139,47.939534331195055,0.2588844433984467,0.16749821810406265,0.0,0.0
30,BR69T4,T,manual,en,46,71,48,pass,,0,6155,5020.359999999997,5842,4864.7280952380925,302,148.9719047619045,11,6.659999999999999,0,0.0,94.91470349309505,96.89998516516934,4.906580016246954,2.967355025573955,0.17871649065800163,0.13265980925670676,0.0,0.0
31,BR70T1,T,manual,en,41,52,31,pass,,0,6721,5847.59,3459,2711.1910000000016,399,329.2689999999984,2863,2807.13,0,0.0,51.46555572087487,46.36424578330563,5.9366165749144475,5.63084963207062,42.59782770421068,48.00490458462375,0.0,0.0
32,BR70T2,T,manual,en,83,99,57,pass,,0,5466,4660.700000000002,4847,4190.546000000001,447,337.6840000000004,172,132.47,0,0.0,88.67544822539334,89.91237367777372,8.177826564215149,7.245349411032684,3.1467252103915113,2.8422769111935966,0.0,0.0
33,BR70D1,D,manual,en,168,175,91,pass,,0,6466,4475.109999999999,5525,3807.097999999995,931,661.7920000000037,10,6.22,0,0.0,85.44695329415404,85.07272446934257,14.398391586761521,14.788284533788081,0.15465511908444168,0.13899099686935074,0.0,0.0
34,BR70D2,D,manual,en,232,236,120,pass,,0,7129,4972.01,5543,3950.089571428571,1576,1014.5604285714287,10,7.36,0,0.0,77.75284051059054,79.44653312098268,22.106887361481274,20.405438214553644,0.14027212792818067,0.1480286644636676,0.0,0.0
35,BR70T3,T,manual,en,60,72,42,pass,,0,5000,4259.258,3836,3115.1290000000004,1153,1138.3299999999992,11,5.7989999999999995,0,0.0,76.72,73.13783292770714,23.06,26.726016597257065,0.22,0.1361504750357926,0.0,0.0
36,BR70T4,T,manual,en,33,36,19,pass,,0,4658,3962.1400000000003,1270,917.6310000000008,2816,2576.466142857142,572,468.0428571428572,0,0.0,27.264920566766854,23.159984250935118,60.455130957492486,65.02713540806589,12.279948475740662,11.812880340998984,0.0,0.0
